id	id_code	text	description	axis_label	topic	agree_dir	type	phase	macro_cell	axis_code	short_quiz	removal_priority
1	P01	Economic power always turns into political power, so inequality threatens democracy.	Wealthy people and corporations use their money to influence politics through campaign donations, lobbying, and media ownership. Critics argue this corrupts democracy, though defenders claim successful people deserve more influence and anyone can organize politically.	Economic	Wealth & Power	-1	core	1	ALL	econ		
2	P02	Housing should be treated as a basic right, not mainly as an investment.	Everyone needs somewhere to live, so housing should be guaranteed like healthcare or education. Advocates see this as basic human dignity, but skeptics argue treating housing as investment creates wealth and government housing often fails.	Economic	Housing & Property	-1	core	1	ALL	econ		
3	P03	Governments should step in when technology eliminates large numbers of jobs.	When automation destroys entire industries, government should retrain workers or provide income support. Proponents believe society owes displaced workers help. The opposing view holds that markets naturally create new jobs and intervention slows necessary evolution.	Economic	Automation & Jobs	-1	core	1	ALL	econ		
4	P04	The economy should move away from fossil fuels, even if this costs more in the short term.	Climate change requires switching to clean energy even if it temporarily hurts the economy. This position views the transition as essential for survival, despite concerns about job losses and costs from those believing innovation will solve climate issues naturally.	Economic	Climate Economics	-1	core	1	ALL	econ		
5	P05	The economy would be fairer if more companies were owned by their workers instead of outside shareholders.	Companies run by their employees through cooperatives or profit-sharing create fairer workplaces. Supporters claim this reduces exploitation and improves motivation, though critics argue outside investors provide needed capital and worker ownership reduces efficiency.	Economic	Worker Ownership	-1	core	1	ALL	econ	yes	
6	P06	Redistributing wealth through taxes and public programs makes the economy stronger.	Taxing the wealthy to fund programs for everyone creates more opportunity and consumer spending. Progressives see this as investing in society. Conservatives counter that it punishes success and government spends less efficiently than individuals.	Economic	Redistribution as Growth	-1	core	1	ALL	econ	yes	
7	P07	The worth of a product comes only from what people are willing to pay, not from its labor or social benefit.	Things are worth whatever someone will pay - nothing has inherent value beyond market price. Market advocates trust prices to reveal true value, yet critics note this ignores social benefits, environmental costs, and price manipulation.	Economic	Subjective Value	1	core	1	ALL	econ	yes	
8	P08	Economic progress depends mainly on entrepreneurs taking risks, not on government planning.	Risk-taking entrepreneurs create most economic progress through innovation and new businesses. Free-market supporters credit individual initiative for prosperity, though others emphasize government research, infrastructure, and education enable entrepreneurship.	Economic	Entrepreneurship	1	core	1	ALL	econ		
9	P09	Markets naturally organize themselves better than governments can design them.	Markets coordinate millions of decisions better than any planner could through prices and competition. Believers in spontaneous order champion this view. Skeptics point to market failures, monopolies, and crises showing markets need guidance.	Economic	Spontaneous Order	1	core	1	ALL	econ		
10	P10	When credit is too easy or governments give subsidies, it leads to wasteful investments that collapse.	Cheap loans and government support create bubbles where people invest in worthless projects. Critics blame intervention for economic crises, yet defenders argue markets create bubbles naturally and government support prevents worse collapses.	Economic	Malinvestment	1	core	1	ALL	econ		
11	P11	Opening markets to global trade benefits society more than protecting local industries.	Free trade lets countries specialize in what they do best, making everyone richer. Globalists see protectionism as costly favoritism. Nationalists worry about job losses, dependency on other nations, and loss of important industries.	Economic	Free Trade	1	core	1	ALL	econ		
12	P12	It’s better for governments to balance budgets than to borrow heavily for new programs.	Governments should spend only what they collect in taxes to avoid debt burdens. Fiscal conservatives think discipline prevents crisis. Progressives argue government borrowing for infrastructure and education pays for itself through growth.	Economic	Government Debt	1	core	1	ALL	econ		
13	P13	All citizens should be required to complete military or civil service for the good of the nation.	Everyone should serve their country through military or community service to build unity and responsibility. Advocates see civic duty creating social cohesion. Opponents view mandatory service as forced labor violating individual freedom.	Governance	Mandatory Service	1	core	1	ALL	gov		
14	P14	Complex national decisions should be made by appointed experts rather than the general public.	Technical decisions about economics, health, and environment need expertise average voters lack. Technocrats trust qualified specialists over populist sentiment. Democrats fear this undermines self-governance and note experts can be wrong or serve elite interests.	Governance	Rule by Experts	1	core	1	ALL	gov		
15	P15	In times of crisis, leaders should be able to bypass normal checks and balances.	Emergencies require quick action without bureaucratic delays or political gridlock. Pragmatists think flexibility saves lives. Civil libertarians warn that leaders use crises to grab permanent power and checks exist precisely for difficult times.	Governance	Emergency Powers	1	core	1	ALL	gov		
16	P16	The country runs better when power is concentrated in a strong central authority.	Strong central leadership coordinates better than divided government or federalism. Advocates value decisive action and clear direction, but opponents fear concentration of power leads to tyranny and local control better serves diverse needs.	Governance	Centralization of Power	1	core	1	ALL	gov		
