Macro Cell Code	Macro Cell Label	Coordinate Range	Ideology	Friendly Label	Explanation	Recent US/Western Examples	Align Ideology 1	AI1 text	Align Ideology 2	AI2 text	Surprise Ideology 1	SI1 text	Surprise Ideology 2	SI2 text
EL-GA	Revolutionary Communism & State Socialism	x: -10.00 to -7.78,  y: 7.78 to 10.00	Bolshevik Marxism	Revolutionary Socialist	Believes only a revolution led by a strong, disciplined party can fully overthrow capitalism and create a socialist society. Gradual reforms or popular protests are seen as inadequate. Only by seizing state power and transforming economic structures through a centralized movement can a true socialist order be built and defended from counterrevolution.	Lenin’s Bolsheviks in the 1917 Russian Revolution created the first lasting communist state, showing how a disciplined revolutionary party could seize power. Their model shaped the 20th century left, and even today, some tiny communist parties in the West cite this period as their historical inspiration.	Trotskyism	Bolshevik Marxism and Trotskyism share a deep commitment to revolution as the means to destroy capitalism and reshape society under worker control.	Maoism	Bolshevik Marxism and Maoism both rely on disciplined parties to lead transformation, differing mainly in whether peasants or urban workers are the key force.	Civic Conservatism	The two share a belief that shared values keep communities together, even if they imagine very different kinds of order.	Objectivism	Both reject passivity and insist society must be reshaped intentionally, though they differ on the end goal.
EL-GA	Revolutionary Communism & State Socialism	x: -7.78 to -5.56,  y: 7.78 to 10.00	Juche	Self-Reliance Ideology	Believes a nation must become entirely self-sufficient and united under a single supreme leader, rejecting foreign influence, outside aid, or global oversight. This worldview envisions complete economic and cultural isolation in order to preserve national purity, framed as the only way to keep the nation secure, independent, and uncorrupted by outsiders.	North Korea under the Kim dynasty remains the clearest living example of total autarky and leader worship. The regime rejects almost all outside influence and enforces strict isolation. While there is no true Western equivalent, its system illustrates the farthest extreme of self-sufficiency and centralized control.	National Bolshevism	Juche and National Bolshevism mix nationalism with state socialism, demanding strict central authority to defend cultural identity and national survival.	Autocratic Theocracy	Like an autocratic theocracy, Juche treats loyalty to its leader as near-spiritual, binding politics and devotion into one system of control.	Progressivism	Each side believes society can be completely remade, though their visions of that future could not be further apart.	Paleoconservatism	Each side distrusts foreign influence, though one seeks purity through isolation and the other through tradition.
EL-GA	Revolutionary Communism & State Socialism	x: -5.56 to -3.33,  y: 7.78 to 10.00	Strasserism	Radical Nationalist Socialist	Combines intense nationalism with radical anti-capitalist beliefs, arguing that foreign corporations and elites exploit the common people. Calls for authoritarian rule to protect ordinary citizens from these forces. Portrays itself as a defender of the working class while using national pride to justify harsh measures and concentrate power at the top.	The Strasser brothers led a radical faction of the early Nazi movement in 1920s Germany that combined nationalism with anti-capitalist rhetoric. Though Hitler sidelined them, their ideas survive as fringe references in some neo-Nazi populist groups, which invoke Strasserism while lacking any real political power today.	Nazism	Strasserism was born inside Nazism, sharing its nationalism and authoritarianism but mixing in radical anti-capitalist ideas rejected by Hitler himself.	National Capitalism	Like National Capitalism, Strasserism saw the economy as a weapon for national revival, ready to use either state control or private power to serve the nation.	Eco-Socialism	These two reject uncontrolled capitalism, though one dreams of purity and the other of sustainability.	Third-Way Labour	These two blend nationalism and socialism with pragmatic economics, even if their morals and methods differ wildly.
EM-GA	Authoritarian Statist Centrism	x: -3.33 to -1.11,  y: 7.78 to 10.00	Falangism	Religious Authoritarian	A clerical fascist ideology that merges authoritarian nationalism with devout Catholic values, calling for the state to enforce moral teachings. Promotes a corporatist economy where industries are overseen by the state in line with religious principles. Imagines a rigid, unified society guided by traditional faith, duty, and obedience to authority.	The Falangist Party of 1930s Spain fused authoritarian nationalism and Catholic traditionalism. It shaped Francisco Franco’s regime and left a cultural imprint. Today, only a handful of small Catholic far-right groups in Europe reference Falangism, and there is no significant Western political movement built on it.	Francoism	Falangism fed Franco’s rule, fusing Catholic tradition with corporatist economics to impose a rigid ideal of national unity and cultural obedience.	Integralism	Falangism and Integralism both aim to embed Catholic faith deep into governance, seeing religion as the glue for social order.	Liberal Conservatism	The pair value order and community, though one seeks it with rigid hierarchy and the other with steady legal norms.	Council Communism	The pair stress collective identity, though one channels it through hierarchy and the other through worker councils.
EM-GA	Authoritarian Statist Centrism	x: -1.11 to 1.11,  y: 7.78 to 10.00	Autocratic Theocracy	Divine Rule Believer	Advocates for a government ruled by a single absolute leader whose authority is justified by religion. Believes that merging divine will with state power produces true order and justice. Opposes secular democracy, seeing it as corrupting and chaotic, and instead envisions a theocratic regime with complete control over law, culture, and society.	Iran’s Supreme Leader system and Saudi Arabia’s royal rule show what modern theocracies look like, where religion legitimizes total authority. No Western democracy has adopted such structures, but these governments illustrate how faith-based leadership can completely merge spiritual power with political rule.	Integralism	Autocratic Theocracy and Integralism fuse religion and state power, claiming moral authority as justification for political control and obedience.	Absolute Monarchy	Like Absolute Monarchy, Autocratic Theocracy trusts a single leader to rule absolutely, but ties their authority to divine or sacred legitimacy.	Progressivism	Each of them believes in remaking society’s values, though one looks forward and the other backward.	Libertarianism	Each of them emphasizes moral principles, though one imposes them and the other leaves them to personal choice.
EM-GA	Authoritarian Statist Centrism	x: 1.11 to 3.33,  y: 7.78 to 10.00	Nazism	Racial Supremacist	Champions an extreme form of racist nationalism in which a totalitarian one-party state seeks to purify the population by excluding or eliminating those it deems inferior. Uses propaganda, surveillance, and violence to maintain control. Frames itself as protecting the nation’s future, while relying on hatred and fear to rally support and enforce unity.	Nazi Germany under Adolf Hitler from 1933 to 1945 defined totalitarian fascism, combining racism, propaganda, and violence to create a one-party state. Today, neo-Nazi groups exist only on the fringe without state power, but they continue to reference and glorify Hitler’s failed vision of racial dictatorship.	Fascism	Nazism and Fascism share totalitarian ambition, glorifying the state, militarism, and loyalty while crushing dissent to enforce ideological purity.	Francoism	Nazism and Francoism overlap in their authoritarian nationalism, though Franco’s regime tied itself more to Catholic tradition than Nazi racial ideology.	National Capitalism	Together they see economics as serving the state’s power, even if their visions of society differ.	State Socialism	Both use state control, though for utterly different moral and ideological goals.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 3.33 to 5.56,  y: 7.78 to 10.00	Francoism	Catholic Authoritarian	Blends authoritarian rule by a strongman leader with conservative Catholic and national traditions, suppressing dissent in the name of preserving social order and religious values. Views freedom of speech and pluralism as destabilizing. Seeks to hold society together through loyalty to traditional faith, hierarchy, and a heavily controlled cultural identity.	Francisco Franco’s dictatorship in Spain from 1939 to 1975 built a lasting example of Catholic-infused authoritarianism. His regime shaped Spanish politics for decades, and although the dictatorship ended, nostalgia groups and symbols linked to Franco still surface occasionally in Spanish far-right movements.	Falangism	Francoism drew heavily from Falangism, adopting its Catholic nationalism and corporatist economy to forge a vision of Spain rooted in obedience and tradition.	Integralism	Francoism and Integralism both saw religion as essential to a functioning society, turning faith into a pillar of national identity and politics.	Civic Conservatism	The two stress the need for shared values to hold society together, though they diverge in how rigidly to enforce them.	Council Communism	The two believe in collective responsibility, though one sees it through faith and hierarchy and the other through workers.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 5.56 to 7.78,  y: 7.78 to 10.00	Fascism	Totalitarian Nationalist	Demands a nation be fully unified under a powerful leader and a militarized government. Sees glory as achievable only through strict obedience, national expansion, and crushing opposition. Uses intimidation and violence to enforce order and loyalty, believing sacrifice for the leader and the state is the highest duty of every citizen.	Benito Mussolini’s Italy in the 1920s and 1930s created the blueprint for fascism, combining mass rallies, militarism, and one-party rule. Modern ultra-nationalist and neo-fascist groups borrow his symbols and ideas, but no Western government today openly adopts Mussolini’s model of governance or his ideology.	Nazism	Fascism and Nazism share authoritarian rule, state glorification, and ruthless control, though Nazism adds an extreme racial agenda not central to all fascism.	Francoism	Like Francoism, Fascism relied on tradition, nationalism, and hierarchy, though its tone was often more revolutionary and militaristic.	Distributism	Each side dislikes pure laissez faire economics, though one uses that to build hierarchy and the other to build localism.	Progressivism	Together they seek sweeping social transformation, even if their end goals are polar opposites.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 7.78 to 10.00,  y: 7.78 to 10.00	Absolute Monarchy	Unchecked Royal Rule	Believes a single hereditary monarch should hold total and unchecked power by divine right. Rejects democratic checks, representative government, or power sharing of any kind. The monarch rules as the embodiment of the state, with subjects bound to obey. Sees tradition, birthright, and religion as the sole sources of legitimate authority.	Historic European kingdoms such as Louis XIV’s France during the “Sun King” era demonstrated absolute monarchy, with rulers claiming divine right and unlimited power. Today, absolute monarchies like Saudi Arabia and Brunei persist, but no modern Western state retains that structure of unchecked hereditary rule.	Autocratic Theocracy	Absolute Monarchy and Autocratic Theocracy both place supreme power in one leader, who claims legitimacy through divine will or sacred duty.	Feudalism	Absolute Monarchy and Feudalism share a hierarchical worldview, seeing society as a ladder of obligations and loyalty beneath a single sovereign.	Civic Conservatism	These two cherish order and inherited tradition, though they disagree on how unchanging that order must be.	Georgism	Both involve concepts of land stewardship, though one holds it by divine right and the other for public benefit.
EL-GA	Revolutionary Communism & State Socialism	x: -10.00 to -7.78,  y: 5.56 to 7.78	Maoism	Rural Communist Revolutionary	Favors a communist revolution led by rural peasants rather than urban workers, inspired by Mao Zedong’s model. Sees the countryside as the revolutionary heart of society, capable of overthrowing landlords and elites. Promotes continuous struggle, mass mobilization, and cultural transformation to create a socialist state rooted in collective rural power.	Mao Zedong’s China during the Cultural Revolution in the 1960s showed the power of rural-led revolution, mass mobilization, and cultural upheaval. Decades later, Maoist guerrilla groups like Peru’s Shining Path in the 1980s drew on his ideas, showing how his influence extended well beyond China’s borders.	Bolshevik Marxism	Maoism and Bolshevik Marxism share faith in revolutionary parties but differ in focus, with Maoism turning peasants into the heart of socialist struggle.	Posadism	Both Maoism and Posadism see radical upheaval as necessary, though Posadism veers into fantastical territory with visions of nuclear war and alien aid.	Progressivism	The pair insist society can be transformed completely, though one builds through reform and the other through revolution.	Traditional Conservatism	The pair value community loyalty, though one looks toward the past and the other toward the revolutionary future.
