ID,Question,Axis,Agree Direction,Topic,worth for 10q quiz
1,High-income earners should pay a much larger percentage of their income in taxes than everyone else.,economic,left,Taxation,0
2,Healthcare should be provided free of charge by the government to all people.,economic,left,Healthcare,1
3,Labor unions are necessary to protect workers’ rights and should be supported.,economic,left,Labor Unions,0
4,Strong government regulation of businesses is necessary to protect consumers and workers.,economic,left,Corporate Regulation,2
5,Ensuring affordable housing for all citizens is a responsibility of the government.,economic,left,Housing Policy,0
6,The government should actively redistribute wealth from the rich to the poor to create a more equal society.,economic,left,Wealth Redistribution,2
7,Protecting the environment should be prioritized even at the cost of economic growth.,economic,left,Environmental Policy,1
8,Employees should have an ownership stake or say in the companies they work for.,economic,left,Worker Ownership,0
9,Lowering taxes for businesses and individuals is the best way to encourage economic growth.,economic,right,Tax Cuts,2
10,Private companies can provide services like healthcare and education more efficiently than the government.,economic,right,Privatization,0
11,Generous social welfare programs can reduce people’s incentive to work.,economic,right,Welfare,1
12,Too much government regulation of business stifles economic growth and innovation.,economic,right,Regulation Burden,0
13,Economic inequality is not a problem as long as there is equality of opportunity.,economic,right,Economic Inequality,0
14,Free-market capitalism is the best economic system, despite any imperfections.,economic,right,Economic System,2
15,Tariffs and import restrictions are necessary to protect domestic industries.,economic,right,Trade Policy,1
16,Implementing socialist policies would only harm the economy.,economic,right,Socialism vs Capitalism,0
17,Government surveillance of citizens’ communications is acceptable if it prevents crime and terrorism.,authority,authoritarian,Surveillance,2
18,The government should be able to censor speech or media that it considers dangerous or extremist.,authority,authoritarian,Censorship,2
19,In a national emergency, it is acceptable for the government to suspend some normal legal rights.,authority,authoritarian,Emergency Powers,0
20,Criminals who commit serious crimes deserve harsh punishments, not rehabilitation.,authority,authoritarian,Crime and Punishment,0
21,A strong, centralized government is necessary to maintain order in society.,authority,authoritarian,Central Authority,0
22,People should always obey the law, even if they feel it is unjust.,authority,authoritarian,Rule of Law,0
23,Government policy should follow the advice of qualified experts, even if it goes against popular opinion.,authority,authoritarian,Technocracy,0
24,Every citizen should be required to serve in the military or perform national service for at least a year.,authority,authoritarian,National Service,0
25,Individuals should be free to make their own lifestyle choices as long as they do not harm others.,authority,libertarian,Personal Freedom,1
26,The government should have as little involvement in citizens’ lives as possible.,authority,libertarian,Limited Government,2
27,Local communities should have more power to govern themselves and less oversight from the central government.,authority,libertarian,Decentralization,0
28,People have the right to disobey laws they find unjust.,authority,libertarian,Civil Disobedience,0
29,Law-abiding citizens should be able to own firearms without heavy restrictions.,authority,libertarian,Gun Rights,1
30,The government should not enforce any moral or cultural values on individuals.,authority,libertarian,Moral Freedom,0
31,If the government violates the people’s rights, the people have the right to overthrow it.,authority,libertarian,Right to Revolt,0
32,In an ideal society, communities could manage themselves without any centralized government.,authority,libertarian,Anarchism,0
33,Consensual acts that do not harm others (such as adult sex work) should not be outlawed.,authority,libertarian,Victimless Crimes,0
34,Children are best off when raised by a married mother and father in the same household.,cultural,conservative,Family Values,2
35,Immigration into our country should be strictly limited to protect our national culture and economy.,cultural,conservative,Immigration Policy,0
36,It is more important to preserve traditional values and ways of life than to adopt new social changes.,cultural,conservative,Traditional Values,0
37,It’s important for citizens to be proud of their country’s history and heritage.,cultural,conservative,Patriotism,0
38,Maintaining our national sovereignty should be prioritized over working with international organizations.,cultural,conservative,National Sovereignty,0
39,Political correctness has gone too far, to the point where people are afraid to speak their minds.,cultural,conservative,Political Correctness,1
40,Society has become too permissive and would be better off if we returned to more traditional standards of morality.,cultural,conservative,Moral Standards,0
41,A diverse society with many cultures, religions, and identities is a strength for a nation.,cultural,progressive,Multiculturalism,2
42,Laws and policies should not be influenced by any religion; the government needs to stay secular.,cultural,progressive,Secularism,1
43,Policies like affirmative action are necessary to help correct historical inequalities.,cultural,progressive,Affirmative Action,1
44,Society should accept people’s gender identities, even if they differ from their birth sex.,cultural,progressive,Gender Identity,1
45,Women should have the right to choose an abortion without government interference.,cultural,progressive,Reproductive Rights,2
46,The death penalty should be abolished in all cases.,cultural,progressive,Death Penalty,0
47,People should avoid adopting elements of other cultures in ways that are disrespectful or insensitive.,cultural,progressive,Cultural Appropriation,0
48,Drug use should be treated as a public health issue (with education and treatment) rather than a criminal one.,cultural,progressive,Drug Policy,0
49,Schools should teach students about the historical injustices committed by our country.,cultural,progressive,Historical Awareness,0
50,Maintaining social stability is more important than rapid social change.,cultural,conservative,Social Change,0
